week,day,name,description,duration,exercises
2,4,Running: Aerobic Threshold Introduction (Tempo Intervals). ,Start building threshold capacity. ,75,"[{""name"": ""Warm-up Jog"", ""duration"": ""15 min""},{""name"": ""Tempo Intervals: 3-4 x 8 minutes at Lactate Threshold Pace (RPE 7-8, comfortably hard) with 2-3 min jog recovery"", ""duration"": ""Approx 40-45 min""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
2,5,Hyrox Conditioning: Sled Power & Run Intervals,Focus on heavy sled work and compromised running. ,90,"[{""name"": ""Warm-up: Dynamic, light sled pushes/pulls"", ""duration"": ""10 min""},{""name"": ""Heavy Sled Push"", ""sets"": ""5"", ""distance"": ""25m (max controllable weight, RPE 9)"", ""rest"": ""2 min""},{""name"": ""Heavy Sled Pull (rope)"", ""sets"": ""5"", ""distance"": ""25m (max controllable weight, RPE 9)"", ""rest"": ""2 min""},{""name"": ""Run Intervals: 4 x 400m at 5K pace immediately after last sled set, 60s static rest"", ""duration"": ""Approx 20 min""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
2,6,Active Recovery or REST,Focus on mobility,45,"[{""name"": ""Optional: Targeted Mobility (hips, shoulders, ankles), Foam Rolling, or Light 30 min Cross-Train (Zone 1-2)"", ""duration"": ""30-45 min""}]"
2,7,Running: Long Run (Increased Volume),Continue to build time on feet. ,115,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Long Easy Run (Zone 2)"", ""duration"": ""95-100 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5-10 min""}]"
3,1,Strength: Lower Body Accumulation (Peak Volume) & Aerobic Run,Highest volume strength week for this block. ,140,"[{""name"": ""Front Squats"", ""sets"": ""5"", ""reps"": ""10-12 (RPE 8)""},{""name"": ""Conventional Deadlifts (volume, not max)"", ""sets"": ""4"", ""reps"": ""6-8 (RPE 8)""},{""name"": ""Leg Extensions + Hamstring Curls (Superset)"", ""sets"": ""3"", ""reps"": ""15-20 each""},{""name"": ""Glute Bridges (Barbell)"", ""sets"": ""3"", ""reps"": ""12-15""},{""name"": ""Standing Calf Raises"", ""sets"": ""4"", ""reps"": ""15-20""},{""name"": ""Core: Cable Woodchoppers"", ""sets"": ""3"", ""reps"": ""10-12 per side""},{""name"": ""WOD: Lower Body Endurance & Cardio"", ""description"": ""AMRAP 12 min: 10 Sandbag over shoulder (moderate), 10 Sandbag Squats, 200m Run/SkiErg/Row. Aim for continuous movement. RPE 8-9."", ""duration"": ""12 min""},{""name"": ""Steady Aerobic Run"", ""description"": ""Ensure this run is truly easy given the strength and WOD. Focus on Zone 2 HR / RPE 4-5."", ""duration"": ""45-50 min""}]"
3,2,Running: Long Run - Fartlek Style,Incorporate surges into the long run to touch on faster paces. ,105,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Long Run with Fartlek: 90 min total. Within the run, include 8-10 x (1 min 'on' at approx 10k pace / 3 mins 'off' at Zone 2 pace)."", ""duration"": ""90 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5-10 min""}]"
3,3,Strength: Upper Body Accumulation (Peak Volume) & Hyrox Skill,Highest volume strength week. Burpee Broad Jump technique. ,120,"[{""name"": ""Incline Bench Press"", ""sets"": ""5"", ""reps"": ""10-12 (RPE 8)""},{""name"": ""Chin-ups (Weighted or AMRAP)"", ""sets"": ""5"", ""reps"": ""AMRAP or 6-10""},{""name"": ""Seated Dumbbell Shoulder Press"", ""sets"": ""4"", ""reps"": ""10-15""},{""name"": ""T-Bar Rows"", ""sets"": ""4"", ""reps"": ""10-12""},{""name"": ""Close Grip Push-ups (Weighted vest if possible)"", ""sets"": ""3"", ""reps"": ""AMRAP""},{""name"": ""WOD: Upper Body Stamina"", ""description"": ""For Time: 3 Rounds: 20 Calorie Row, 15 Push-ups, 10 Toes-to-Bar or Knees-to-Elbows. Push the pace, RPE 8-9."", ""duration"": ""10-15 min""},{""name"": ""Burpee Broad Jump Practice"", ""sets"": ""4"", ""distance"": ""20m (focus on explosive jump and smooth burpee, RPE 8)"", ""rest"": ""90s""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
3,4,Running: Threshold Development (Continuous Tempo). ,Longer continuous effort at threshold. ,80,"[{""name"": ""Warm-up Jog"", ""duration"": ""15 min""},{""name"": ""Tempo Run: 25-30 minutes continuous at Lactate Threshold Pace (RPE 7-8)"", ""duration"": ""25-30 min""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
3,5,Hyrox Simulation (Mini): Run-Station-Run Focus,Practice transitions and running under fatigue. ,90,"[{""name"": ""Warm-up: Dynamic, station specific drills"", ""duration"": ""10 min""},{""name"": ""Workout: 1km Run (Zone 3-4) -> 750m SkiErg (hard) -> 1km Run (Zone 3-4) -> 50m Sled Push (race weight) -> 1km Run (Zone 3-4) -> 75 Wall Balls (race weight, aim for large sets) -> 1km Run (Zone 3-4). Focus on quick transitions and consistent effort. RPE 8-9."", ""duration"": ""Approx 50-60 min""},{""name"": ""Cool Down: Easy jog/walk, stretch"", ""duration"": ""10 min""}]"
3,6,Active Recovery or REST,Prepare for intensity shift next week. ,45,"[{""name"": ""Optional: Very Light Swim/Bike (Zone 1-2), or Full Body Mobility & Stretching"", ""duration"": ""30-45 min""}]"
3,7,Running: Long Run (Maintain Volume),Maintain endurance base. ,110,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Long Easy Run (Zone 2)"", ""duration"": ""90-95 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5-10 min""}]"
4,1,DELOAD Strength: Lower Body,Reduced volume and intensity across all lifts. No WOD to prioritize recovery.,60,"[{""name"": ""Back Squats"", ""sets"": ""3"", ""reps"": ""8 at 60-65% of Week 2 weight (RPE 6)""},{""name"": ""RDLs"", ""sets"": ""2"", ""reps"": ""10 (light, RPE 6)""},{""name"": ""Bodyweight Lunges"", ""sets"": ""2"", ""reps"": ""10 per leg""},{""name"": ""Core: Plank"", ""sets"": ""2"", ""duration"": ""60s""}]"
4,2,Running: DELOAD Easy Run,Short and very easy to promote recovery. ,45,"[{""name"": ""Warm-up Walk/Jog"", ""duration"": ""5 min""},{""name"": ""Easy Recovery Run (Zone 1-2)"", ""duration"": ""30-35 min""},{""name"": ""Cool Down Walk"", ""duration"": ""5 min""}]"
4,3,DELOAD Strength: Upper Body,Reduced volume and intensity. No WOD to prioritize recovery.,55,"[{""name"": ""Bench Press"", ""sets"": ""3"", ""reps"": ""8 at 60-65% of Week 2 weight (RPE 6)""},{""name"": ""Lat Pulldowns (light)"", ""sets"": ""2"", ""reps"": ""12""},{""name"": ""Dumbbell Shoulder Press (light)"", ""sets"": ""2"", ""reps"": ""12""},{""name"": ""Band Face Pulls"", ""sets"": ""2"", ""reps"": ""20""}]"
4,4,Running: DELOAD Very Easy Short Run,Keep it light. ,35,"[{""name"": ""Very Easy Short Run or Cross Training (Bike/Swim)"", ""duration"": ""25-30 min, low intensity (Zone 1-2)""}]"
4,5,Hyrox Skills Flow (DELOAD),"Light walk-through of a few stations, focusing on technique, no metabolic stress.",40,"[{""name"": ""SkiErg (250m very easy, technique)"", ""duration"": ""5 min""},{""name"": ""Wall Balls (10 reps, light ball, focus on form)"", ""duration"": ""5 min""},{""name"": ""Sled Push (empty sled, walk 25m)"", ""duration"": ""5 min""},{""name"": ""Farmer's Carry (light KBs, walk 25m)"", ""duration"": ""5 min""},{""name"": ""Focus on mental checklist and transitions"", ""duration"": ""15 min""}]"
4,6,REST,"Complete rest day. Hydrate, fuel.",0,[]
4,7,REST,Complete rest day. Prepare for next block. ,0,[]
5,1,Strength: Lower Heavy Volume/Power & Threshold Run,Build strength and power. Threshold run to build capacity. (Consider splitting sessions if fatigue is high e.g. strength in AM run in PM).,125,"[{""name"": ""Squat Variation (e.g., Safety Bar Squat, Back Squat)"", ""sets"": ""4-5"", ""reps"": ""5-8 (RPE 8-9, heavy but not a 1RM attempt)""},{""name"": ""Accessory: Glute Ham Raises or Nordic Curls"", ""sets"": ""3"", ""reps"": ""6-10""},{""name"": ""Accessory: Heavy Kettlebell Swings"", ""sets"": ""3"", ""reps"": ""10-12 (explosive)""},{""name"": ""Accessory: Walking Lunges (heavy dumbbells)"", ""sets"": ""3"", ""reps"": ""10-12 per leg""},{""name"": ""Core: Ab Wheel Rollouts"", ""sets"": ""3"", ""reps"": ""AMRAP""},{""name"": ""WOD: Lower Body Power Finisher"", ""description"": ""5 min AMRAP: 10 Wall Balls (light), 10 Burpees. This is a very short, sharp burst to finish the strength. RPE 7-8."", ""duration"": ""5 min""},{""name"": ""Running: Threshold Intervals"", ""description"": ""Warm-up 15 min. Then 4-5 x 1km at Lactate Threshold pace (RPE 8), with 2 min jog recovery. Cool-down 15 min. Focus on sustained effort for the run, even if strength is fatiguing. Listen to your body."", ""duration"": ""Approx 70 min total run session""}]"
5,2,Running: VO2 Max Intervals (Track/Controlled). ,Focus on high-end aerobic power. ,75,"[{""name"": ""Warm-up Jog & Drills"", ""duration"": ""20 min""},{""name"": ""VO2 Max Intervals: 5-6 x 800m at best sustainable 800m pace (approx 3K-5K effort / RPE 9), with equal time jog recovery (e.g., if 800m takes 2:45, jog for 2:45)."", ""duration"": ""Approx 35-40 min""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
5,3,Strength: Upper Heavy Volume/Power & Hyrox Power,Build strength and power. Then station power. (Hyrox Power acts as the conditioning WOD for this day).,110,"[{""name"": ""Bench Press Variation (e.g., Floor Press, Close Grip Bench)"", ""sets"": ""4-5"", ""reps"": ""5-8 (RPE 8-9, heavy but not a 1RM attempt)""},{""name"": ""Accessory: Weighted Pull-ups/Chin-ups"", ""sets"": ""3"", ""reps"": ""5-8""},{""name"": ""Accessory: Dumbbell Rows (heavy, one arm)"", ""sets"": ""3"", ""reps"": ""6-8 per side""},{""name"": ""Hyrox Power: Sled Sprint (light/moderate sled, focus on max speed)"", ""sets"": ""5"", ""distance"": ""25m (RPE 9)"", ""rest"": ""60s""},{""name"": ""Hyrox Power: Explosive Wall Balls"", ""sets"": ""3"", ""reps"": ""10-12 (focus on height/speed, RPE 9)"", ""rest"": ""60s""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
5,4,Running: Long Run (Maintain some quality).,Include some segments at a moderate pace. ,100,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Long Run: 90 min total. Middle 30-40 mins at a steady Zone 3 pace (RPE 6), remainder Zone 2."", ""duration"": ""90 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5-10 min""}]"
5,5,Hyrox Specific: Compromised Running & Station Endurance. ,Hard session simulating race conditions with multiple transitions. ,90,"[{""name"": ""Warm-up: Dynamic, light versions of workout movements"", ""duration"": ""10 min""},{""name"": ""Workout: (3 Rounds For Time) 800m Run (challenging pace, RPE 8) -> 20 Burpee Broad Jumps (consistent, fast, RPE 8) -> 20 Calorie Row (sprint, RPE 9). Minimal rest between movements, 2-3 min rest between rounds."", ""duration"": ""Approx 45-55 min""},{""name"": ""Accessory: Heavy Sandbag Carry for distance (e.g. 2 x 50m, RPE 8)"", ""duration"": ""15 min""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
5,6,Active Recovery or REST. ,Focus on recovery techniques. ,45,"[{""name"": ""Optional: Contrast Shower, Normatec Boots (if available), Gentle Yoga, or Full Rest. Prioritize sleep and nutrition."", ""duration"": ""30-45 min""}]"
5,7,Running: Hilly Run or Hill Repeats. ,Build running strength and power. ,75,"[{""name"": ""Warm-up Jog"", ""duration"": ""15 min""},{""name"": ""Hilly Route Run (moderate effort, attack hills, RPE 7-8)"", ""duration"": ""45 min""}, {""name"": ""OR Hill Repeats"", ""description"": ""8-10 x 45-60 second hill sprints (RPE 9), jog back down recovery."", ""duration"": ""Approx 30 min for repeats section""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
6,1,Strength: Lower Dynamic Effort & Threshold Run. ,Focus on bar speed for squats. Challenging threshold run. (Consider splitting sessions if fatigue is high e.g. strength in AM run in PM).,115,"[{""name"": ""Dynamic Effort Box Squats (parallel or slightly below)"", ""sets"": ""10"", ""reps"": ""2 (at 50-60% 1RM Back Squat + bands/chains if available, focus on max speed)"", ""rest"": ""45-60s""},{""name"": ""Accessory: Reverse Hypers or Back Extensions"", ""sets"": ""3"", ""reps"": ""12-15""},{""name"": ""Accessory: Single Leg RDLs"", ""sets"": ""3"", ""reps"": ""8-10 per leg""},{""name"": ""Core: Pallof Press"", ""sets"": ""3"", ""reps"": ""10-12 per side""},{""name"": ""WOD: Lower Body Power Finisher"", ""description"": ""6 min AMRAP: 10 Air Squats, 5 Broad Jumps, 10 Kettlebell Swings (light to moderate). Focus on explosive, quality reps. RPE 7-8."", ""duration"": ""6 min""},{""name"": ""Running: Cruise Intervals (Threshold)"", ""description"": ""Warm-up 15 min. Then 5-6 x 1km at ~10K pace (just faster than threshold, RPE 8-9), with 60-90s jog recovery. Cool-down 15 min. Focus on quality of run and recovery between intervals."", ""duration"": ""Approx 65 min total run session""}]"
6,2,Running: VO2 Max Intervals (Longer Reps). ,Push VO2 max with longer intervals. ,80,"[{""name"": ""Warm-up Jog & Drills"", ""duration"": ""20 min""},{""name"": ""VO2 Max Intervals: 3-4 x 1200m-1600m at best sustainable pace (approx 5K race pace / RPE 9), with 2:1 or 1.5:1 rest to work ratio (jog recovery)."", ""duration"": ""Approx 40-45 min""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
6,3,Strength: Upper Dynamic Effort & Hyrox Power. ,Focus on bar speed for bench. Heavy carries. (Strongman component acts as the conditioning WOD for this day).,100,"[{""name"": ""Dynamic Effort Bench Press"", ""sets"": ""8-10"", ""reps"": ""3 (at 50-60% 1RM Bench Press + bands/chains if available, focus on max speed)"", ""rest"": ""45-60s""},{""name"": ""Accessory: Barbell Rows (explosive)"", ""sets"": ""4"", ""reps"": ""6-8""},{""name"": ""Accessory: Push Press"", ""sets"": ""3"", ""reps"": ""5-8 (explosive)""},{""name"": ""Strongman: Heavy Yoke Walk (or Zercher Carry / Heavy Sandbag Carry if no yoke)"", ""sets"": ""3"", ""distance"": ""20-30m (max controllable weight, RPE 9)"", ""rest"": ""2 min""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
6,4,Running: Long Run (Race Pace Simulation). ,Include a significant portion at or near target Hyrox 1km run pace. ,100,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Long Run with Race Pace: 90 min total. Include 3-4 x 1km repeats at target Hyrox run pace (RPE 7-8) within the run, with 5-6 mins easy jog between."", ""duration"": ""90 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5-10 min""}]"
6,5,Hyrox Specific: Full Stations Circuit (Pacing). ,Cycle through all (or most) Hyrox stations with moderate runs focusing on even pacing and station strategy. ,100-120,"[{""name"": ""Warm-up: Race day simulation warm-up"", ""duration"": ""15 min""},{""name"": ""Workout: Complete all 8 Hyrox stations with ~800m run (moderate, consistent pace, RPE 7-8) between each. Aim for race weight/reps. Focus on smooth transitions and consistent effort, not all-out speed yet."", ""duration"": ""70-90 min""},{""name"": ""Cool Down: Light jog/walk, hydration, nutrition."", ""duration"": ""15 min""}]"
6,6,Active Recovery or REST. ,Prioritize sleep and nutrition. ,45,"[{""name"": ""Optional: Easy Swim, Gentle Static Stretching, Meditation, or Full Rest. Listen to your body's recovery needs."", ""duration"": ""30-45 min""}]"
6,7,Running: Moderate Hilly Run. ,Sustained effort over varied terrain. ,80,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Moderate Hilly Route Run"", ""duration"": ""60 min (maintain effort on climbs, recover on descents, RPE 6-7 overall)""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""10 min""}]"
7,1,Strength: Lower Heavy Volume/Power & Long Threshold Intervals,Focus on building strength and power. Tough threshold session to build capacity. (No additional WOD on this day due to already high intensity and volume; consider splitting sessions or reducing volume/intensity of one if fatigue is high).,120,"[{""name"": ""Deadlift Variation (e.g., Conventional, Sumo, Trap Bar)"", ""sets"": ""4-5"", ""reps"": ""5-8 (RPE 8-9, heavy but not a 1RM attempt)""},{""name"": ""Accessory: Front Squats (lighter for volume)"", ""sets"": ""3"", ""reps"": ""6-8""},{""name"": ""Accessory: Kettlebell Goblet Lunges"", ""sets"": ""3"", ""reps"": ""8-10 per leg""},{""name"": ""Core: Weighted Side Planks"", ""sets"": ""3"", ""duration"": ""30-45s per side (RPE 8)""},{""name"": ""Running: Long Threshold Intervals"", ""description"": ""Warm-up 15 min. Then 2-3 x 15-20 minutes at Lactate Threshold pace (RPE 8), with 3-4 min jog recovery. Cool-down 15 min. This is a very demanding run, ensure proper fueling and focus on maintaining target effort, not pace at all costs."", ""duration"": ""Approx 75-85 min total run session""}]"
7,2,Running: VO2 Max - Descending Ladder. ,Challenge VO2 max with decreasing interval lengths and increasing pace. ,75,"[{""name"": ""Warm-up Jog & Drills"", ""duration"": ""20 min""},{""name"": ""VO2 Max Ladder: 1600m (5K pace, RPE 8) -> 1200m (slightly faster, RPE 8.5) -> 800m (faster yet, RPE 9) -> 400m (near max, RPE 9-10). Full jog recovery equal to work time for 1600/1200, slightly less for 800/400."", ""duration"": ""Approx 35-40 min""},{""name"": ""Cool Down Jog/Walk"", ""duration"": ""15 min""}]"
7,3,Strength: Upper Heavy Volume/Power & Hyrox Power,Build strength and power. Then station power. (Hyrox Power acts as the conditioning WOD for this day).,110,"[{""name"": ""Overhead Press Variation (e.g., Strict Press, Push Press)"", ""sets"": ""4-5"", ""reps"": ""5-8 (RPE 8-9, heavy but not a 1RM attempt)""},{""name"": ""Accessory: Close Grip Incline Press"", ""sets"": ""3"", ""reps"": ""6-10""},{""name"": ""Accessory: Kroc Rows (heavy DB rows for high reps)"", ""sets"": ""1-2"", ""reps"": ""15-20 per side (RPE 9-10)""},{""name"": ""Hyrox Power: Sled Drag Sprints (facing away from sled, explosive pulls)"", ""sets"": ""5"", ""distance"": ""25m (RPE 9-10)"", ""rest"": ""60s""},{""name"": ""Hyrox Power: Medicine Ball Slams (max power)"", ""sets"": ""3"", ""reps"": ""8-10 (RPE 9)"", ""rest"": ""60s""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
7,4,Running: Long Run (Easy recovery focus).After intense week focus on recovery during long run. ,,90,"[{""name"": ""Warm-up Jog"", ""duration"": ""5 min""},{""name"": ""Long Easy Run (Zone 1-2). Listen to your body and keep the effort genuinely low."", ""duration"": ""80 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5 min""}]"
7,5,"Hyrox Specific: ""Pain Cave"" Simulation. High Intensity. ",Very hard session pushing mental and physical limits. Short intense compromised running. ,90,"[{""name"": ""Warm-up: Thorough, race-specific"", ""duration"": ""15 min""},{""name"": ""Workout: (2-3 Rounds For Quality/Near Max Effort) 1km Run (RPE 9) -> 1000m SkiErg (All Out, RPE 10) -> 500m Row (All Out, RPE 10) -> 25 Burpee Broad Jumps (Max Speed Clean Reps, RPE 9). Take significant rest (4-5 mins) between rounds to ensure quality."", ""duration"": ""Approx 60 min including rest""},{""name"": ""Accessory: Max Distance Farmer's Carry (single attempt, moderate-heavy weight, RPE 9)"", ""duration"": ""10 min""},{""name"": ""Cool Down & Mental Reset"", ""duration"": ""15 min""}]"
7,6,Active Recovery or REST. ,Full rest likely needed. ,45,"[{""name"": ""Optional: Very light walk (Zone 1), or Full Rest. Prioritize sleep and active recovery techniques."", ""duration"": ""30-45 min""}]"
7,7,Running: Easy Shakeout Run or Cross-Train. ,Light movement to flush legs. ,45,"[{""name"": ""Easy Shakeout Run (Zone 1)"", ""duration"": ""30-40 min""}, {""name"": ""OR Cross-Train (Bike/Swim) light effort."", ""duration"": ""40 min""},{""name"": ""Light Stretching"", ""duration"": ""5 min""}]"
8,1,DELOAD Strength: Lower Body,Significantly reduced load and volume. No WOD to prioritize recovery.,60,"[{""name"": ""Front Squats"", ""sets"": ""2"", ""reps"": ""8 at 50-60% of recent working weight (RPE 5-6)""},{""name"": ""Kettlebell Swings (light)"", ""sets"": ""2"", ""reps"": ""15 (RPE 5)""},{""name"": ""Bodyweight Glute Bridges"", ""sets"": ""2"", ""reps"": ""20""},{""name"": ""Core: McGill Big 3 (Curl-up, Side Bridge, Bird-dog)"", ""sets"": ""2"", ""reps"": ""8-10 each""}]"
8,2,Running: DELOAD Easy Run & Strides,Maintain feel for speed without stress. ,50,"[{""name"": ""Warm-up Walk/Jog"", ""duration"": ""10 min""},{""name"": ""Easy Recovery Run (Zone 1-2)"", ""duration"": ""30 min""},{""name"": ""Strides: 4 x 100m (smooth, not sprint, RPE 6)"", ""duration"": ""5 min""},{""name"": ""Cool Down Walk"", ""duration"": ""5 min""}]"
